Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_3_T1_1 Spectral Count	ALS_3_T2_2 Spectral Count	ALS_3_T3_3 Spectral Count	ALS_3_T4_4 Spectral Count	ALS_3_T1_1 Unique Spectral Count	ALS_3_T2_2 Unique Spectral Count	ALS_3_T3_3 Unique Spectral Count	ALS_3_T4_4 Unique Spectral Count	ALS_3_T1_1 Total Spectral Count	ALS_3_T2_2 Total Spectral Count	ALS_3_T3_3 Total Spectral Count	ALS_3_T4_4 Total Spectral Count	ALS_3_T1_1 Intensity	ALS_3_T2_2 Intensity	ALS_3_T3_3 Intensity	ALS_3_T4_4 Intensity	ALS_3_T1_1 MaxLFQ Intensity	ALS_3_T2_2 MaxLFQ Intensity	ALS_3_T3_3 MaxLFQ Intensity	ALS_3_T4_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	28	28	28	8	7	7	6	8	7	7	6	8	7	7	6	1.0653088E9	2.3456937E9	8.0924506E8	1.00789184E9	9.3331507E8	9.977479E8	1.02003987E9	8.2522694E8	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	0.706	0.9853	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1439503.1	1175364.9	1036818.4	1066518.6	0.0	0.0	0.0	0.0	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.9833	0.9585	2	2	0	3	1	1	0	0	0	0	0	0	1	1	1	0	632534.06	1473793.2	1019759.8	1023763.8	0.0	0.0	0.0	0.0	contam_sp|P25691|K2M3_SHEEP, sp|O43790|KRT86_HUMAN, sp|P78385|KRT83_HUMAN, sp|P78386|KRT85_HUMAN, sp|Q14533|KRT81_HUMAN
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	0.999	0.9962	2	5	1	5	1	1	2	1	0	0	1	0	1	1	2	1	1.7704322E7	1.0977845E7	1.842617E7	1.1065591E7	1.1145286E7	0.0	1.168185E7	0.0	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.9487	0.9981	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1233658.1	1443317.9	1301859.6	1357360.2	0.0	0.0	0.0	0.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.9987	2	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	3259604.0	3145461.0	2732278.0	2891388.5	1848518.1	1793563.0	1533266.5	1648624.9	sp|P04211|LV743_HUMAN
sp|A0A075B6J9|LV218_HUMAN	A0A075B6J9	LV218_HUMAN	IGLV2-18	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 2-18	0.545	0.9709	1	2	2	2	1	0	1	0	1	0	1	0	1	0	1	0	505265.28	660673.7	602975.75	645902.94	0.0	0.0	0.0	0.0	
sp|A0A075B6K0|LV316_HUMAN	A0A075B6K0	LV316_HUMAN	IGLV3-16	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-16	0.9639	0.9987	1	3	0	3	1	1	0	1	0	0	0	0	1	1	0	1	814408.1	745024.75	647516.3	818195.4	0.0	0.0	0.0	0.0	sp|P01717|LV325_HUMAN, sp|P01718|LV327_HUMAN
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-10	0.7673	0.9892	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	5467918.0	5667095.5	4984043.5	5651345.5	0.0	0.0	0.0	0.0	sp|P01715|LV301_HUMAN
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	0.9729	0.999	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	6022214.5	6779249.0	5296006.5	5428493.0	0.0	0.0	0.0	0.0	sp|P80748|LV321_HUMAN
sp|A0A075B6R2|HV404_HUMAN	A0A075B6R2	HV404_HUMAN	IGHV4-4	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-4	0.6235	0.9788	1	2	2	2	0	1	0	1	0	1	0	1	0	1	0	1	663131.3	646775.6	689163.2	779793.25	0.0	0.0	0.0	0.0	
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	0.9998	0.9989	2	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	7814150.0	9143384.0	6685854.0	4486097.0	4406950.5	5065815.0	3729008.2	0.0	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S2|KVD29_HUMAN	A0A075B6S2	KVD29_HUMAN	IGKV2D-29	120	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 2D-29	0.9998	0.9989	2	4	0	8	1	1	1	1	0	0	0	0	2	2	2	2	2.1372914E7	2.3247322E7	2.328291E7	2.2793348E7	0.0	0.0	0.0	0.0	sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A2NJV5|KV229_HUMAN
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-15	1.0	0.9979	2	8	4	8	2	2	2	2	1	1	1	1	2	2	2	2	2092518.5	2336987.5	2240232.5	2465954.5	1331468.0	1489554.1	1483526.0	1539364.0	
sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-11	1.0	0.999	2	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	9217335.0	1.0670856E7	1.1158026E7	1.016623E7	8116295.5	8520710.0	1.0208319E7	9674335.0	sp|P04433|KV311_HUMAN
sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-49	1.0	0.9988	2	7	7	7	2	2	2	1	2	2	2	1	2	2	2	1	2853994.5	2731886.0	3001482.8	2628475.5	2063630.1	1844655.4	2085901.4	1794211.4	
sp|A0A0A0MT89|KJ01_HUMAN	A0A0A0MT89	KJ01_HUMAN	IGKJ1	12	Homo sapiens	4:Protein predicted	Immunoglobulin kappa joining 1	0.8803	0.9951	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	766949.94	685386.44	837386.94	702539.9	0.0	0.0	0.0	0.0	
sp|A0A0B4J1U3|LV136_HUMAN	A0A0B4J1U3	LV136_HUMAN	IGLV1-36	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 1-36	0.9714	0.9989	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	462067.06	423519.72	491455.62	405453.7	0.0	0.0	0.0	0.0	
sp|A0A0B4J1U7|HV601_HUMAN	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	121	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 6-1	0.4638	0.9601	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	822730.3	966569.4	2987904.0	2176046.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-15	0.7494	0.9881	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	8.5042488E7	8.2278912E7	1.01758984E8	8.5194776E7	0.0	0.0	0.0	0.0	
