Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_9_1 Spectral Count	ALS_9_2 Spectral Count	ALS_9_3 Spectral Count	ALS_9_4 Spectral Count	ALS_9_1 Unique Spectral Count	ALS_9_2 Unique Spectral Count	ALS_9_3 Unique Spectral Count	ALS_9_4 Unique Spectral Count	ALS_9_1 Total Spectral Count	ALS_9_2 Total Spectral Count	ALS_9_3 Total Spectral Count	ALS_9_4 Total Spectral Count	ALS_9_1 Intensity	ALS_9_2 Intensity	ALS_9_3 Intensity	ALS_9_4 Intensity	ALS_9_1 MaxLFQ Intensity	ALS_9_2 MaxLFQ Intensity	ALS_9_3 MaxLFQ Intensity	ALS_9_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	25	25	25	6	6	6	7	6	6	6	7	6	6	6	7	4.71039424E8	6.2349568E8	5.6608838E8	7.0906253E8	2.6987264E8	3.488288E8	3.09037664E8	3.80973024E8	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	0.6111	0.9808	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	265265.62	266372.1	261629.92	347198.62	0.0	0.0	0.0	0.0	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.9852	0.9657	2	3	0	4	0	1	1	1	0	0	0	0	0	1	1	2	1383455.6	1149995.9	1521156.0	2045145.9	0.0	0.0	0.0	0.0	contam_sp|P25691|K2M3_SHEEP, sp|O43790|KRT86_HUMAN, sp|P78385|KRT83_HUMAN, sp|P78386|KRT85_HUMAN, sp|Q14533|KRT81_HUMAN
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.9328	0.9978	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	2380998.2	2454643.2	2517303.8	2335622.8	0.0	0.0	0.0	0.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.9947	2	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	5327178.0	4559854.0	6132030.0	5705885.5	2940861.2	2499742.5	3376932.0	3164268.8	sp|P04211|LV743_HUMAN
sp|A0A075B6J9|LV218_HUMAN	A0A075B6J9	LV218_HUMAN	IGLV2-18	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 2-18	0.9998	0.9879	2	4	4	4	2	0	1	1	2	0	1	1	2	0	1	1	1452368.0	1252177.5	2040468.0	1277599.5	1012642.8	889407.8	1349052.0	817832.4	
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-10	0.6883	0.9863	1	3	0	3	1	1	1	0	0	0	0	0	1	1	1	0	5046735.0	4416494.5	6847077.0	6485526.0	0.0	0.0	0.0	0.0	sp|P01715|LV301_HUMAN
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	0.9684	0.999	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	9817332.0	8459812.0	8468387.0	6897488.0	0.0	0.0	0.0	0.0	sp|P80748|LV321_HUMAN
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	0.9987	0.997	2	2	0	6	1	0	1	0	0	0	0	0	2	1	2	1	759438.8	629901.94	723687.75	755918.25	0.0	0.0	0.0	0.0	sp|P01615|KVD28_HUMAN
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	1.0	0.999	3	9	0	9	2	2	3	2	0	0	0	0	2	2	3	2	1.3716091E7	1.3452235E7	1.1789774E7	1.2275239E7	7050865.5	6672284.5	5658210.0	6174702.0	sp|A0A0C4DH68|KV224_HUMAN
