Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_11_1 Spectral Count	ALS_11_2 Spectral Count	ALS_11_3 Spectral Count	ALS_11_4 Spectral Count	ALS_11_1 Unique Spectral Count	ALS_11_2 Unique Spectral Count	ALS_11_3 Unique Spectral Count	ALS_11_4 Unique Spectral Count	ALS_11_1 Total Spectral Count	ALS_11_2 Total Spectral Count	ALS_11_3 Total Spectral Count	ALS_11_4 Total Spectral Count	ALS_11_1 Intensity	ALS_11_2 Intensity	ALS_11_3 Intensity	ALS_11_4 Intensity	ALS_11_1 MaxLFQ Intensity	ALS_11_2 MaxLFQ Intensity	ALS_11_3 MaxLFQ Intensity	ALS_11_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	468	468	468	122	117	106	123	122	117	106	123	122	117	106	123	8.3991025E9	7.7493842E9	1.06867855E10	9.5479634E9	8.6824243E9	6.6210954E9	8.439851E9	8.5711206E9	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	0.7784	0.992	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	559022.94	497957.78	367670.8	338319.97	559022.94	497957.78	367670.8	338319.97	
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus	1:Experimental evidence at protein level	Alpha-S2-casein	0.6948	0.9876	1	2	2	2	1	1	0	0	1	1	0	0	1	1	0	0	681883.2	592989.7	110303.29	362987.44	681883.2	592989.7	110303.29	362987.44	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.9877	0.9807	2	3	0	4	1	0	1	1	0	0	0	0	1	0	1	2	500620.78	920345.4	1216437.5	1097160.5	500620.78	920345.4	1216437.5	1097160.5	contam_sp|P25691|K2M3_SHEEP, sp|O43790|KRT86_HUMAN, sp|P78385|KRT83_HUMAN, sp|P78386|KRT85_HUMAN, sp|Q14533|KRT81_HUMAN
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	0.9999	0.9981	2	12	2	12	2	3	3	4	0	0	1	1	2	3	3	4	1.9309728E7	2.6170292E7	2.3516434E7	2.2022874E7	1.9309728E7	2.3264008E7	2.0528754E7	1.8669176E7	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	1.0	0.9988	2	5	5	5	1	1	1	2	1	1	1	2	1	1	1	2	1798309.6	1625262.2	1975705.4	1588745.0	1798309.6	1625262.2	1975705.4	1588745.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.9988	2	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	7717528.5	8172552.0	8482757.0	8723492.0	4317560.5	4494396.5	4857442.0	4993643.0	sp|P04211|LV743_HUMAN
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-10	0.8412	0.9947	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1.0673293E7	8439981.0	1.3335823E7	1.2540513E7	1.0673293E7	8439981.0	1.3335823E7	1.2540513E7	sp|P01715|LV301_HUMAN
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	0.9956	0.999	2	6	2	6	1	1	2	2	0	0	1	1	1	1	2	2	9016104.0	7985230.0	1.1137926E7	1.0193618E7	7140042.0	7310104.5	1.085054E7	1.0523974E7	
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	1.0	0.999	2	5	0	5	1	1	2	1	0	0	0	0	1	1	2	1	2.4932186E7	3.129732E7	2.8735166E7	2.7472854E7	2.2419898E7	3.2523836E7	2.5928188E7	2.721322E7	sp|P01615|KVD28_HUMAN
