Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_7_1 Spectral Count	ALS_7_2 Spectral Count	ALS_7_3 Spectral Count	ALS_7_4 Spectral Count	ALS_7_1 Unique Spectral Count	ALS_7_2 Unique Spectral Count	ALS_7_3 Unique Spectral Count	ALS_7_4 Unique Spectral Count	ALS_7_1 Total Spectral Count	ALS_7_2 Total Spectral Count	ALS_7_3 Total Spectral Count	ALS_7_4 Total Spectral Count	ALS_7_1 Intensity	ALS_7_2 Intensity	ALS_7_3 Intensity	ALS_7_4 Intensity	ALS_7_1 MaxLFQ Intensity	ALS_7_2 MaxLFQ Intensity	ALS_7_3 MaxLFQ Intensity	ALS_7_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	27	27	27	6	7	7	7	6	7	7	7	6	7	7	7	2.19897232E8	2.02846656E8	5.2945392E8	3.91578272E8	2.486984E8	3.24637472E8	5.7076768E8	2.27537536E8	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	0.6269	0.9801	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	621598.2	463654.38	527044.6	543093.75	0.0	0.0	0.0	0.0	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.9916	0.9719	2	4	0	6	1	1	1	1	0	0	0	0	2	2	1	1	1167790.4	1821833.9	950904.0	1019363.8	0.0	0.0	0.0	0.0	contam_sp|P25691|K2M3_SHEEP, sp|O43790|KRT86_HUMAN, sp|P78385|KRT83_HUMAN, sp|P78386|KRT85_HUMAN, sp|Q14533|KRT81_HUMAN
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	0.9999	0.9941	2	6	2	6	1	2	2	1	0	1	1	0	1	2	2	1	1.8471868E7	1.5571048E7	1.7787538E7	1.4741916E7	1.5023778E7	1.3588091E7	1.5349187E7	0.0	
sp|A0A075B6H9|LV469_HUMAN	A0A075B6H9	LV469_HUMAN	IGLV4-69	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 4-69	0.9519	0.9983	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	471914.1	364417.88	0.0	1923511.1	0.0	0.0	0.0	0.0	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.9676	0.9989	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1766800.9	1404924.9	2075716.0	2568545.0	0.0	0.0	0.0	0.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.9976	2	6	0	6	1	1	2	2	0	0	0	0	1	1	2	2	3350195.0	3024518.2	5331192.0	5101023.0	2141245.0	1944037.6	3780922.8	3340217.0	sp|P04211|LV743_HUMAN
sp|A0A075B6K0|LV316_HUMAN	A0A075B6K0	LV316_HUMAN	IGLV3-16	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-16	1.0	0.9967	2	5	0	5	1	1	2	1	0	0	0	0	1	1	2	1	1121371.9	1611893.6	2943606.5	2069270.8	1162623.0	750692.3	1265988.2	976241.94	
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-10	0.9964	0.9876	2	2	0	3	1	1	0	0	0	0	0	0	1	2	0	0	2066419.9	2337052.0	1.059527E7	6776631.0	0.0	0.0	0.0	0.0	
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	1.0	0.999	3	8	0	8	2	3	1	2	0	0	0	0	2	3	1	2	3.1850934E7	2.518159E7	3.071291E7	3.5463916E7	2.9518898E7	2.4718512E7	2.8223688E7	2.4214112E7	sp|P01615|KVD28_HUMAN
sp|A0A075B6Q5|HV364_HUMAN	A0A075B6Q5	HV364_HUMAN	IGHV3-64	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-64	0.9794	0.9978	2	1	1	3	0	0	0	1	0	0	0	1	1	1	0	1	824595.6	724414.5	355052.47	481837.94	0.0	0.0	0.0	0.0	
sp|A0A075B6R2|HV404_HUMAN	A0A075B6R2	HV404_HUMAN	IGHV4-4	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-4	0.6181	0.9794	1	2	2	2	0	0	1	1	0	0	1	1	0	0	1	1	616531.56	449727.0	1388931.1	1338951.6	0.0	0.0	0.0	0.0	
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	0.9997	0.9988	2	5	0	5	1	0	2	2	0	0	0	0	1	0	2	2	2161381.5	6237182.0	8011563.0	8000575.0	0.0	3406748.2	4513265.5	4518387.0	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S2|KVD29_HUMAN	A0A075B6S2	KVD29_HUMAN	IGKV2D-29	120	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 2D-29	0.9985	0.995	3	1	0	7	0	0	0	1	0	0	0	0	1	1	2	3	494626.22	359661.2	1188512.0	766411.2	0.0	0.0	0.0	0.0	sp|A2NJV5|KV229_HUMAN
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-15	1.0	0.999	2	8	4	8	2	2	2	2	1	1	1	1	2	2	2	2	5016775.5	5368032.0	4901934.0	2976648.5	3718182.5	3635215.2	3600596.0	2308804.8	
sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-11	1.0	0.999	2	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	1.6589693E7	1.6088682E7	1.7694398E7	1.6136318E7	1.6751741E7	1.842217E7	1.7962132E7	7570739.0	sp|P04433|KV311_HUMAN
sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-49	1.0	0.9973	4	9	9	11	2	2	2	3	2	2	2	3	3	3	2	3	4877398.0	4110037.0	3771650.8	3061387.0	2586894.2	2346035.0	1863630.1	2051935.5	
sp|A0A0A0MT89|KJ01_HUMAN	A0A0A0MT89	KJ01_HUMAN	IGKJ1	12	Homo sapiens	4:Protein predicted	Immunoglobulin kappa joining 1	0.8308	0.9931	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	973470.56	931100.06	1161775.2	1224329.5	0.0	0.0	0.0	0.0	
sp|A0A0B4J1U7|HV601_HUMAN	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	121	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 6-1	1.0	0.9891	2	6	6	6	1	1	2	2	1	1	2	2	1	1	2	2	9125752.0	3146687.5	1.0569113E7	9958177.0	6495777.5	3216372.2	1.0711612E7	1.0891429E7	
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-15	1.0	0.9984	3	6	4	8	1	1	2	2	1	1	1	1	2	2	2	2	4.4306952E7	4.3332216E7	5.8981568E7	1.1516921E7	3.4347808E7	3.1141372E7	4.8660468E7	1.0688939E7	
sp|A0A0B4J1V2|HV226_HUMAN	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 2-26	0.6257	0.98	1	3	3	3	0	1	1	1	0	1	1	1	0	1	1	1	0.0	478147.62	458742.4	572114.3	0.0	0.0	0.0	0.0	
