Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_2_1 Spectral Count	ALS_2_2 Spectral Count	ALS_2_3 Spectral Count	ALS_2_4 Spectral Count	ALS_2_1 Unique Spectral Count	ALS_2_2 Unique Spectral Count	ALS_2_3 Unique Spectral Count	ALS_2_4 Unique Spectral Count	ALS_2_1 Total Spectral Count	ALS_2_2 Total Spectral Count	ALS_2_3 Total Spectral Count	ALS_2_4 Total Spectral Count	ALS_2_1 Intensity	ALS_2_2 Intensity	ALS_2_3 Intensity	ALS_2_4 Intensity	ALS_2_1 MaxLFQ Intensity	ALS_2_2 MaxLFQ Intensity	ALS_2_3 MaxLFQ Intensity	ALS_2_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	28	28	28	7	7	7	7	7	7	7	7	7	7	7	7	1.20315866E9	8.4493901E8	5.8774643E8	7.8282733E8	6.4191782E8	7.9528403E8	7.11336E8	5.7327213E8	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	0.5919	0.9781	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	519544.75	527835.3	611079.25	438109.38	0.0	0.0	0.0	0.0	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.8404	0.9769	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	1160923.2	1788471.4	1096916.9	876566.3	0.0	0.0	0.0	0.0	contam_sp|P25691|K2M3_SHEEP, sp|O43790|KRT86_HUMAN, sp|P78385|KRT83_HUMAN, sp|P78386|KRT85_HUMAN, sp|Q14533|KRT81_HUMAN
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.951	0.9983	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1702220.0	1633698.5	1571074.4	1732471.5	0.0	0.0	0.0	0.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.9982	2	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	4436067.5	4342782.0	4846560.0	5836936.0	2617959.2	2594671.2	2925392.5	3381542.2	sp|P04211|LV743_HUMAN
sp|A0A075B6J9|LV218_HUMAN	A0A075B6J9	LV218_HUMAN	IGLV2-18	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 2-18	0.7482	0.9892	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	975620.0	954094.75	1027757.44	1117172.8	0.0	0.0	0.0	0.0	
sp|A0A075B6K0|LV316_HUMAN	A0A075B6K0	LV316_HUMAN	IGLV3-16	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-16	0.9999	0.997	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	1174323.0	1132343.0	0.0	1052302.1	0.0	0.0	0.0	0.0	sp|P01717|LV325_HUMAN, sp|P01718|LV327_HUMAN
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-10	0.6098	0.9797	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	4754837.5	6338523.0	7695382.0	6494780.0	0.0	0.0	0.0	0.0	sp|P01715|LV301_HUMAN
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	0.97	0.999	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	8469106.0	8718030.0	8125895.0	8711162.0	0.0	0.0	0.0	0.0	sp|P80748|LV321_HUMAN
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	1.0	0.999	3	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	2.6444262E7	2.9266714E7	2.424513E7	3.2443038E7	2.2955454E7	2.7522378E7	2.382953E7	3.1271358E7	sp|P01615|KVD28_HUMAN
sp|A0A075B6R2|HV404_HUMAN	A0A075B6R2	HV404_HUMAN	IGHV4-4	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-4	0.5077	0.9695	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	992282.7	874142.6	1107707.1	1148746.0	0.0	0.0	0.0	0.0	
