Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	control_9_1 Spectral Count	control_9_1 Unique Spectral Count	control_9_1 Total Spectral Count	control_9_1 Intensity	Indistinguishable Proteins
contam_sp|P00004|CYC_HORSE	P00004	CYC_HORSE	CYCS	105	Equus caballus	1:Experimental evidence at protein level	Cytochrome c	0.9606	0.9982	1	1	0	1	1	0	1	647500.06	sp|P99999|CYC_HUMAN
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	7	7	7	7	7	7	7.9136883E8	
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	1.0	0.9898	2	2	1	2	2	1	2	2126957.0	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.9047	0.9953	1	1	1	1	1	1	1	3304436.5	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.9936	2	2	0	2	2	0	2	6348268.0	sp|P04211|LV743_HUMAN
sp|A0A075B6J9|LV218_HUMAN	A0A075B6J9	LV218_HUMAN	IGLV2-18	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 2-18	0.7243	0.9831	1	1	1	1	1	1	1	830472.0	
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	0.9781	0.999	1	1	0	1	1	0	1	9247252.0	sp|P80748|LV321_HUMAN
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	1.0	0.999	2	2	0	2	2	0	2	3.8451264E7	sp|P01615|KVD28_HUMAN
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	1.0	0.999	3	3	0	3	3	0	3	1.0781087E7	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-27	0.9754	0.9989	1	1	0	1	1	0	1	2774495.2	sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN
