Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_10_1 Spectral Count	ALS_10_2 Spectral Count	ALS_10_3 Spectral Count	ALS_10_4 Spectral Count	ALS_10_1 Unique Spectral Count	ALS_10_2 Unique Spectral Count	ALS_10_3 Unique Spectral Count	ALS_10_4 Unique Spectral Count	ALS_10_1 Total Spectral Count	ALS_10_2 Total Spectral Count	ALS_10_3 Total Spectral Count	ALS_10_4 Total Spectral Count	ALS_10_1 Intensity	ALS_10_2 Intensity	ALS_10_3 Intensity	ALS_10_4 Intensity	ALS_10_1 MaxLFQ Intensity	ALS_10_2 MaxLFQ Intensity	ALS_10_3 MaxLFQ Intensity	ALS_10_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	27	27	27	7	6	7	7	7	6	7	7	7	6	7	7	3.95191968E8	4.83662528E8	4.91958336E8	4.69995712E8	5.23804288E8	5.29678656E8	6.4518496E8	7.5368358E8	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	0.6907	0.9843	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	477069.1	588705.25	569844.06	590053.3	0.0	0.0	0.0	0.0	
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus	1:Experimental evidence at protein level	Alpha-S2-casein	0.4365	0.956	1	2	2	2	0	0	1	1	0	0	1	1	0	0	1	1	0.0	108352.54	569812.75	421762.34	0.0	0.0	0.0	0.0	
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	0.4312	0.9551	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	484205.12	848757.06	1299174.4	1236834.6	0.0	0.0	0.0	0.0	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.9856	0.9698	2	3	0	5	0	1	1	1	0	0	0	0	0	2	2	1	29881.727	907120.5	1072130.2	641322.9	0.0	0.0	0.0	0.0	contam_sp|P25691|K2M3_SHEEP, sp|O43790|KRT86_HUMAN, sp|P78385|KRT83_HUMAN, sp|P78386|KRT85_HUMAN, sp|Q14533|KRT81_HUMAN
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	0.9998	0.9937	2	6	2	6	1	2	1	2	0	1	0	1	1	2	1	2	2.3755052E7	2.1886336E7	2.4072144E7	2.2091352E7	1.7155776E7	1.6290261E7	2.097984E7	1.8054976E7	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.9531	0.9982	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	3453428.2	2783738.5	2652954.2	2261644.5	0.0	0.0	0.0	0.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.9984	2	7	0	7	1	2	2	2	0	0	0	0	1	2	2	2	2900494.8	3096332.0	3044453.5	2666440.0	1523879.6	1629693.8	1602589.2	1400341.4	sp|P04211|LV743_HUMAN
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-10	0.7477	0.9881	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	6844960.5	7905450.0	7234483.5	6246782.5	0.0	0.0	0.0	0.0	sp|P01715|LV301_HUMAN
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	0.9727	0.999	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	7574886.5	7863646.0	8822183.0	7974467.0	0.0	0.0	0.0	0.0	sp|P80748|LV321_HUMAN
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	0.9995	0.9989	2	3	0	7	1	1	1	0	0	0	0	0	2	2	2	1	1098817.4	869702.44	880689.56	1648829.2	0.0	0.0	0.0	0.0	sp|P01615|KVD28_HUMAN
sp|A0A075B6R2|HV404_HUMAN	A0A075B6R2	HV404_HUMAN	IGHV4-4	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-4	0.4875	0.9639	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1347799.2	1386296.9	1524763.6	1449491.9	0.0	0.0	0.0	0.0	
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	0.9995	0.999	2	4	0	8	1	1	1	1	0	0	0	0	2	2	2	2	0.0	2590388.2	2357903.0	2488518.8	0.0	0.0	0.0	0.0	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-27	0.9727	0.999	1	3	0	3	1	0	1	1	0	0	0	0	1	0	1	1	3103700.5	2698865.8	2790114.8	3087785.8	0.0	0.0	0.0	0.0	sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-15	1.0	0.999	2	8	4	8	2	2	2	2	1	1	1	1	2	2	2	2	3979705.5	3383038.0	3686061.5	3769612.5	2843877.8	2379793.8	2723395.8	2715713.5	
sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-11	1.0	0.999	2	7	0	7	1	2	2	2	0	0	0	0	1	2	2	2	2.0391818E7	1.8297432E7	1.8750438E7	2.0561016E7	1.8719384E7	1.913159E7	1.5512419E7	1.765791E7	sp|P04433|KV311_HUMAN
sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-49	0.9998	0.9946	3	5	5	9	1	1	2	1	1	1	2	1	2	2	3	2	2191473.0	1433870.6	1782979.5	1729695.9	1476486.8	0.0	1243589.5	1300369.2	
sp|A0A0A0MT89|KJ01_HUMAN	A0A0A0MT89	KJ01_HUMAN	IGKJ1	12	Homo sapiens	4:Protein predicted	Immunoglobulin kappa joining 1	0.8569	0.9941	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1253049.9	1294463.2	1219258.4	1080739.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1U7|HV601_HUMAN	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	121	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 6-1	1.0	0.9969	2	8	8	8	2	2	2	2	2	2	2	2	2	2	2	2	4512201.0	4644701.0	5154839.5	4374136.0	3424589.8	3764265.2	3783893.2	3217560.5	
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-15	1.0	0.9987	3	3	2	7	0	0	2	1	0	0	1	1	1	1	3	2	8953380.0	4.343662E7	8749222.0	4.9454164E7	7650475.0	3.967878E7	7311272.5	4.0528336E7	
sp|A0A0B4J1V2|HV226_HUMAN	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 2-26	0.4513	0.9584	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	0.0	524713.3	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	116	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-20	0.9993	0.9986	3	4	4	10	1	1	1	1	1	1	1	1	3	2	3	2	2903482.0	2836203.5	3002436.8	2691813.5	0.0	0.0	0.0	0.0	
sp|A0A0C4DH29|HV103_HUMAN	A0A0C4DH29	HV103_HUMAN	IGHV1-3	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-3	0.7366	0.9874	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH31|HV118_HUMAN	A0A0C4DH31	HV118_HUMAN	IGHV1-18	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-18	0.9724	0.999	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1002246.7	959793.8	717947.4	654354.7	0.0	0.0	0.0	0.0	
sp|A0A0C4DH34|HV428_HUMAN	A0A0C4DH34	HV428_HUMAN	IGHV4-28	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-28	0.9673	0.9988	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1453155.0	1863503.9	2446485.5	1989830.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH36|HV338_HUMAN	A0A0C4DH36	HV338_HUMAN	IGHV3-38	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 3-38	0.9875	0.9987	2	4	4	8	1	1	1	1	1	1	1	1	2	2	2	2	1017013.5	773253.7	792800.7	1131582.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 5-51	1.0	0.999	3	12	8	12	3	3	3	3	2	2	2	2	3	3	3	3	7256464.0	6622668.0	7083715.0	7074839.0	3641510.2	3227511.0	3627517.5	3444417.2	
sp|A0A0C4DH41|HV461_HUMAN	A0A0C4DH41	HV461_HUMAN	IGHV4-61	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-61	1.0	0.9983	2	5	0	5	2	1	1	1	0	0	0	0	2	1	1	1	9542067.0	8497199.0	7709265.5	7017112.0	8174718.0	7080190.0	6087507.5	5762107.0	sp|P01824|HV439_HUMAN, sp|P01825|HV459_HUMAN, sp|P06331|HV434_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|P0DP08|HVD82_HUMAN
sp|A0A0C4DH72|KV106_HUMAN	A0A0C4DH72	KV106_HUMAN	IGKV1-6	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-6	0.9998	0.999	2	7	0	7	2	1	2	2	0	0	0	0	2	1	2	2	5264497.0	3815356.5	3782149.5	3770807.2	3526858.5	2644784.2	2468582.5	2383233.8	
sp|A0A0J9YX35|HV64D_HUMAN	A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-64D	0.9794	0.9978	2	1	1	5	0	0	1	0	0	0	1	0	1	1	2	1	0.0	0.0	1261634.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0J9YXX1|HV5X1_HUMAN	A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 5-10-1	1.0	0.987	3	7	7	11	2	1	1	3	2	1	1	3	3	2	2	4	8711800.0	9053586.0	3514129.2	9352118.0	5020000.5	4478218.5	5310311.0	4925556.0	
sp|A0A8I5KQE6|RPSA2_HUMAN	A0A8I5KQE6	RPSA2_HUMAN	RPSA2	295	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS2B	0.6141	0.9781	1	2	0	2	0	0	1	1	0	0	0	0	0	0	1	1	0.0	0.0	552603.7	410384.62	0.0	0.0	0.0	0.0	sp|P08865|RSSA_HUMAN
sp|A2NJV5|KV229_HUMAN	A2NJV5	KV229_HUMAN	IGKV2-29	120	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 2-29	1.0	0.999	4	13	1	13	3	3	4	3	0	0	1	0	3	3	4	3	3.9555108E7	4.0373592E7	3.9524084E7	3.4616244E7	3.0083312E7	3.0410408E7	3.1466328E7	2.525069E7	
sp|A6NGN9|IGLO5_HUMAN	A6NGN9	IGLO5_HUMAN	IGLON5	336	Homo sapiens	1:Experimental evidence at protein level	IgLON family member 5	0.5039	0.9661	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	469942.38	333129.56	460778.53	591594.5	0.0	0.0	0.0	0.0	
sp|A6NLU5|VTM2B_HUMAN	A6NLU5	VTM2B_HUMAN	VSTM2B	285	Homo sapiens	1:Experimental evidence at protein level	V-set and transmembrane domain-containing protein 2B	0.9717	0.999	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	903664.9	0.0	1630795.4	1341630.0	0.0	0.0	0.0	0.0	
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda-like polypeptide 5	1.0	0.999	4	16	4	16	4	4	4	4	1	1	1	1	4	4	4	4	1.58646352E8	1.43985824E8	1.4631064E8	2.3543872E7	7.5033912E7	8.046064E7	7.9238112E7	5.879598E7	
sp|C9JVW0|INAM1_HUMAN	C9JVW0	INAM1_HUMAN	INAFM1	142	Homo sapiens	1:Experimental evidence at protein level	Putative transmembrane protein INAFM1	0.9476	0.998	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	873910.94	1157166.2	1088367.0	732949.8	0.0	0.0	0.0	0.0	
sp|O00142|KITM_HUMAN	O00142	KITM_HUMAN	TK2	265	Homo sapiens	1:Experimental evidence at protein level	Thymidine kinase 2, mitochondrial	0.7446	0.9879	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1552581.9	1684774.6	1681905.2	0.0	0.0	0.0	0.0	0.0	
sp|O00391|QSOX1_HUMAN	O00391	QSOX1_HUMAN	QSOX1	747	Homo sapiens	1:Experimental evidence at protein level	Sulfhydryl oxidase 1	1.0	0.9989	7	13	13	13	3	2	5	3	3	2	5	3	3	2	5	3	2100215.8	1717962.8	2191939.8	1976316.0	807309.6	676834.6	861159.56	720202.9	
sp|O00451|GFRA2_HUMAN	O00451	GFRA2_HUMAN	GFRA2	464	Homo sapiens	1:Experimental evidence at protein level	GDNF family receptor alpha-2	0.743	0.9878	1	3	3	3	1	1	1	0	1	1	1	0	1	1	1	0	627315.94	711158.3	615930.25	0.0	0.0	0.0	0.0	0.0	
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	Homo sapiens	1:Experimental evidence at protein level	Agrin	1.0	0.999	3	10	10	10	3	1	2	4	3	1	2	4	3	1	2	4	3506522.0	3367816.8	3659597.2	4946436.0	1483686.5	1437089.1	1439470.9	2134035.2	
sp|O00533|NCHL1_HUMAN	O00533	NCHL1_HUMAN	CHL1	1208	Homo sapiens	1:Experimental evidence at protein level	Neural cell adhesion molecule L1-like protein	1.0	0.999	20	78	78	78	18	17	21	22	18	17	21	22	18	17	21	22	1.7966024E7	1.6849048E7	1.3736416E7	2.0032264E7	6756014.0	7135439.0	6307054.5	7174048.0	
sp|O00584|RNT2_HUMAN	O00584	RNT2_HUMAN	RNASET2	256	Homo sapiens	1:Experimental evidence at protein level	Ribonuclease T2	1.0	0.999	5	15	15	15	3	4	4	4	3	4	4	4	3	4	4	4	5099842.5	4570407.5	6375288.0	6721798.0	2708628.5	2556006.2	2932521.8	3161274.8	
sp|O14498|ISLR_HUMAN	O14498	ISLR_HUMAN	ISLR	428	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin superfamily containing leucine-rich repeat protein	1.0	0.999	4	9	9	9	2	2	2	3	2	2	2	3	2	2	2	3	1695655.2	2014491.8	2671104.0	2464522.2	801218.25	899840.0	1035424.4	1018129.44	
sp|O14594|NCAN_HUMAN	O14594	NCAN_HUMAN	NCAN	1321	Homo sapiens	1:Experimental evidence at protein level	Neurocan core protein	1.0	0.999	9	30	30	30	8	7	7	8	8	7	7	8	8	7	7	8	4370751.0	4116092.0	3375938.0	4633606.0	1517545.2	1600765.1	1187058.0	1532817.4	
sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	Homo sapiens	1:Experimental evidence at protein level	Tripeptidyl-peptidase 1	0.7641	0.9891	1	2	2	2	1	0	0	1	1	0	0	1	1	0	0	1	584128.4	98323.98	0.0	434000.66	0.0	0.0	0.0	0.0	
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein L1	1.0	0.9973	2	7	7	7	2	1	2	2	2	1	2	2	2	1	2	2	1150690.5	1195199.8	870687.9	905848.75	653819.7	681847.9	484888.4	513416.12	
sp|O14917|PCD17_HUMAN	O14917	PCD17_HUMAN	PCDH17	1159	Homo sapiens	1:Experimental evidence at protein level	Protocadherin-17	0.9268	0.9972	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	361856.7	246282.9	451269.8	511284.84	0.0	0.0	0.0	0.0	
sp|O14983|AT2A1_HUMAN	O14983	AT2A1_HUMAN	ATP2A1	1001	Homo sapiens	1:Experimental evidence at protein level	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	1.0	0.9986	3	6	2	6	0	0	3	3	0	0	1	1	0	0	3	3	401725.4	337997.75	1761600.8	1578280.9	244602.48	203435.28	663905.75	680040.0	
sp|O15031|PLXB2_HUMAN	O15031	PLXB2_HUMAN	PLXNB2	1838	Homo sapiens	1:Experimental evidence at protein level	Plexin-B2	1.0	0.9972	2	2	2	2	0	0	1	1	0	0	1	1	0	0	1	1	523246.6	478597.3	459854.38	459816.97	0.0	0.0	0.0	0.0	
