Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_5_1 Spectral Count	ALS_5_2 Spectral Count	ALS_5_3 Spectral Count	ALS_5_4 Spectral Count	ALS_5_1 Unique Spectral Count	ALS_5_2 Unique Spectral Count	ALS_5_3 Unique Spectral Count	ALS_5_4 Unique Spectral Count	ALS_5_1 Total Spectral Count	ALS_5_2 Total Spectral Count	ALS_5_3 Total Spectral Count	ALS_5_4 Total Spectral Count	ALS_5_1 Intensity	ALS_5_2 Intensity	ALS_5_3 Intensity	ALS_5_4 Intensity	ALS_5_1 MaxLFQ Intensity	ALS_5_2 MaxLFQ Intensity	ALS_5_3 MaxLFQ Intensity	ALS_5_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	26	26	26	6	7	6	7	6	7	6	7	6	7	6	7	4.78904736E8	7.1437875E8	7.3504379E9	4.4693724E9	1.23974131E9	1.76384858E9	1.33485901E9	1.60038835E9	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	0.4633	0.9698	1	2	2	2	0	1	1	0	0	1	1	0	0	1	1	0	512867.94	339317.88	342775.0	478644.28	0.0	0.0	0.0	0.0	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.9885	0.9767	2	3	0	4	1	0	1	1	0	0	0	0	1	0	1	2	1655260.9	1032588.94	1345030.8	2051807.8	0.0	0.0	0.0	0.0	contam_sp|P25691|K2M3_SHEEP, sp|O43790|KRT86_HUMAN, sp|P78385|KRT83_HUMAN, sp|P78386|KRT85_HUMAN, sp|Q14533|KRT81_HUMAN
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.8161	0.994	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1244474.4	1553605.8	1418324.9	1168928.8	0.0	0.0	0.0	0.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.997	2	6	0	6	1	2	2	1	0	0	0	0	1	2	2	1	3603065.0	5211145.0	5280924.0	3077896.8	2287220.0	3344293.5	3454683.0	1878934.2	sp|P04211|LV743_HUMAN
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-10	0.5303	0.9768	1	3	0	3	1	1	0	1	0	0	0	0	1	1	0	1	4426749.5	1.1434851E7	1.2225146E7	3568669.8	0.0	0.0	0.0	0.0	sp|P01715|LV301_HUMAN
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	1.0	0.999	3	7	0	7	2	1	1	3	0	0	0	0	2	1	1	3	2.737241E7	2.4555532E7	2.2307026E7	2.6615852E7	2.6475638E7	2.2130114E7	1.9480578E7	3.0123002E7	sp|P01615|KVD28_HUMAN
sp|A0A075B6Q5|HV364_HUMAN	A0A075B6Q5	HV364_HUMAN	IGHV3-64	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-64	0.0	0.9626	1	2	0	2	0	1	1	0	0	0	0	0	0	1	1	0	2626180.0	3729150.5	3865000.2	2158420.5	0.0	0.0	0.0	0.0	sp|A0A0J9YX35|HV64D_HUMAN, sp|P0DTE1|HV383_HUMAN
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	1.0	0.999	3	8	0	8	1	3	3	1	0	0	0	0	1	3	3	1	1.1421687E7	1.0651484E7	1.1391796E7	1.0179877E7	5185348.5	7364586.5	6311545.0	5286495.0	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S2|KVD29_HUMAN	A0A075B6S2	KVD29_HUMAN	IGKV2D-29	120	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 2D-29	0.9873	0.9742	3	2	0	8	0	1	1	0	0	0	0	0	1	3	3	1	828561.5	1909440.0	2599516.5	809759.94	0.0	0.0	0.0	0.0	sp|A2NJV5|KV229_HUMAN
