Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_8_1 Spectral Count	ALS_8_2 Spectral Count	ALS_8_3 Spectral Count	ALS_8_4 Spectral Count	ALS_8_1 Unique Spectral Count	ALS_8_2 Unique Spectral Count	ALS_8_3 Unique Spectral Count	ALS_8_4 Unique Spectral Count	ALS_8_1 Total Spectral Count	ALS_8_2 Total Spectral Count	ALS_8_3 Total Spectral Count	ALS_8_4 Total Spectral Count	ALS_8_1 Intensity	ALS_8_2 Intensity	ALS_8_3 Intensity	ALS_8_4 Intensity	ALS_8_1 MaxLFQ Intensity	ALS_8_2 MaxLFQ Intensity	ALS_8_3 MaxLFQ Intensity	ALS_8_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	25	25	25	7	6	6	6	7	6	6	6	7	6	6	6	3.7135136E8	2.76258368E8	3.83046656E8	3.5146416E8	5.02497024E8	3.90443072E8	4.07253536E8	3.8133632E8	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	0.6436	0.9834	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	589926.44	417012.8	413088.94	353773.6	0.0	0.0	0.0	0.0	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.9864	0.9755	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	2156746.2	1654116.9	1905769.4	1979829.0	0.0	0.0	0.0	0.0	contam_sp|P25691|K2M3_SHEEP, sp|O43790|KRT86_HUMAN, sp|P78385|KRT83_HUMAN, sp|P78386|KRT85_HUMAN, sp|Q14533|KRT81_HUMAN
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	0.9988	0.9939	2	5	1	5	1	1	1	2	0	0	0	1	1	1	1	2	3228840.8	2961777.5	1.915118E7	1.7446168E7	2729274.2	2906654.8	1.4898062E7	1.2691008E7	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.895	0.9964	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	972233.94	802600.7	905209.9	904702.25	0.0	0.0	0.0	0.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.9972	2	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	4672617.0	3483683.2	5106891.0	4754492.0	2726560.5	1965036.5	3035346.0	2816088.5	sp|P04211|LV743_HUMAN
sp|A0A075B6K0|LV316_HUMAN	A0A075B6K0	LV316_HUMAN	IGLV3-16	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-16	1.0	0.9971	2	5	0	5	1	2	0	2	0	0	0	0	1	2	0	2	5909252.0	2056521.5	4818306.0	5140081.0	2301870.5	1629225.1	1891567.5	2332038.5	
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-10	0.9827	0.9777	2	2	0	4	1	0	1	0	0	0	0	0	2	1	1	0	1.1913341E7	6257666.5	1.4733507E7	9550949.0	0.0	0.0	0.0	0.0	
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	1.0	0.9989	2	5	0	5	1	2	1	1	0	0	0	0	1	2	1	1	3.0147516E7	3.3688344E7	2.3782842E7	2.3790008E7	3.2312592E7	3.3455938E7	2.3390366E7	1.9540578E7	sp|P01615|KVD28_HUMAN
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	1.0	0.9989	3	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	9621008.0	1.000618E7	8940536.0	8552429.0	4692375.5	6882414.0	4606711.5	3974562.5	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-27	0.9677	0.999	1	3	0	3	1	1	1	0	0	0	0	0	1	1	1	0	4438174.0	4236792.5	2824960.5	3588381.0	0.0	0.0	0.0	0.0	sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-15	0.9999	0.999	2	7	3	7	2	2	2	1	1	1	1	0	2	2	2	1	5514898.0	6019726.0	4714608.5	3813422.8	4887545.0	4787232.5	3462801.5	3446130.2	
